effect,component,group,term,estimate,std.error,statistic,p.value,scale,formula,response_name,response_tier,n,ci_ub,ci_lb,sig,percent_change,ci_ub_percent_change,ci_lb_percent_change,clean_response,clean_response_tier
fixed,cond,,Intercept,0.285536942237736,0.097542098943589,2.92732005288167,0.00341896845177955,plot,1 + (1 | exclosure_id/cluster_id),plant_richness_plot,taxonomic_diversity,107,0.476719456167171,0.0943544283083018,significant,33.0476225244652,61.0781485848271,9.89491755978624,Plant Richness,"Taxonomic
Diversity"
fixed,cond,,Intercept,0.152842606207833,0.0860557172541217,1.77608892337147,0.0757182616312417,site,1,plant_richness_site,taxonomic_diversity,6,0.321511812025911,-0.0158265996102459,non-significant,16.5141578458622,37.9211297209484,-1.57020170877743,Plant Richness,"Taxonomic
Diversity"
fixed,cond,,Intercept,-0.0586559669874791,0.165828460461572,-0.353714717149362,0.723552692061034,plot,1 + (1 | exclosure_id/cluster_id),woody_richness_plot,taxonomic_diversity,93,0.266367815517202,-0.38367974949216,non-significant,-5.69688527980047,30.5215048755837,-31.8650405202713,Woody Richness,"Taxonomic
Diversity"
fixed,cond,,Intercept,-0.0823190826793375,0.941771206712969,-0.087408791108249,0.930346581832243,site,1,woody_richness_site,taxonomic_diversity,13,1.76355248247808,-1.92819064783676,non-significant,-7.90219563345391,483.312269673393,-85.4588939576261,Woody Richness,"Taxonomic
Diversity"
fixed,cond,,Intercept,0.805150441562188,0.179621900098764,4.48247369123409,7.37827412523151e-06,plot,1 + (1 | exclosure_id/cluster_id),forb_richness_plot,taxonomic_diversity,99,1.15720936575577,0.453091517368611,significant,123.703301624788,218.104374855808,57.3168152136063,Forb Richness,"Taxonomic
Diversity"
fixed,cond,,Intercept,2.25075605960086,0.714067582172479,3.1520210632629,0.00162144576422478,site,1,forb_richness_site,taxonomic_diversity,13,3.65032852065892,0.851183598542804,significant,849.491184253041,3748.73078481067,134.241769398945,Forb Richness,"Taxonomic
Diversity"
fixed,cond,,Intercept,0.67982236892651,0.17830898661687,3.81260856126806,0.000137507798816859,plot,1 + (1 | exclosure_id/cluster_id),graminoid_richness_plot,taxonomic_diversity,87,1.02930798269557,0.330336755157445,significant,97.3527141348772,179.912811921428,39.1436623034436,Graminoid Richness,"Taxonomic
Diversity"
fixed,cond,,Intercept,0.359835155573386,0.597487038737197,0.602247634248111,0.547009312289031,site,1,graminoid_richness_site,taxonomic_diversity,11,1.53090975149829,-0.81123944035152,non-significant,43.3093157668199,362.238012727484,-55.5692967257927,Graminoid Richness,"Taxonomic
Diversity"
fixed,cond,,Intercept,-0.201091073644728,0.0685791419359817,-2.93224831877374,0.00336517557302353,plot,1 + (1 | exclosure_id/cluster_id),berger_parker_plot,dominance,108,-0.0666759554502039,-0.335506191839252,significant,-18.2162055320404,-6.45017046499055,-28.5023920318917,Plant Dominance,Dominance
fixed,cond,,Intercept,-0.325184470324541,0.0542520234670522,-5.99396021647061,2.0479149287494e-09,site,1,berger_parker_site,dominance,6,-0.218850504329118,-0.431518436319963,significant,-27.7605918920549,-19.6558179750036,-35.0477912369228,Plant Dominance,Dominance
fixed,cond,,Intercept,0.17694351121661,0.154103299178898,1.14821364733533,0.250880376732171,plot,1 + (1 | exclosure_id/cluster_id),functional_dispersion_plot,functional_diversity,105,0.47898597760725,-0.125098955174029,non-significant,19.3563668263264,61.4436497137268,-11.7590420729362,Plant Functional Dispersion,"Functional
Diversity"
fixed,cond,,Intercept,0.00803450597375251,0.0867123710901399,0.0926569746939618,0.926176079124012,site,1,functional_dispersion_site,functional_diversity,6,0.177990753310427,-0.161921741362922,non-significant,0.80668692330772,19.481427310704,-14.9492238485889,Plant Functional Dispersion,"Functional
Diversity"
fixed,cond,,Intercept,0.0416944854988741,0.0593093628947037,0.703000057055029,0.482055713918861,plot,1 + (1 | exclosure_id/cluster_id),functional_richness_plot,functional_diversity,108,0.157940836772493,-0.0745518657747451,non-significant,4.25759080308259,17.1096906785313,-7.18406668923383,Plant Functional Richness,"Functional
Diversity"
