effect,component,group,term,estimate,std.error,statistic,p.value,scale,formula,response_name,response_tier,n,ci_ub,ci_lb,sig,percent_change,ci_ub_percent_change,ci_lb_percent_change,clean_response,clean_response_tier
fixed,cond,,Intercept,0.285536942237736,0.097542098943589,2.92732005288167,0.00341896845177955,plot,1 + (1 | exclosure_id/cluster_id),plant_richness_plot,taxonomic_diversity,107,0.476719456167171,0.0943544283083018,significant,33.0476225244652,61.0781485848271,9.89491755978624,Plant Richness,"Taxonomic
Diversity"
fixed,cond,,Intercept,0.219787157207869,0.099439890450704,2.21025140124048,0.027087719420876,cluster,1 + (1 | exclosure_id),plant_richness_cluster,taxonomic_diversity,36,0.414689342491248,0.0248849719244888,significant,24.5811540359748,51.3900363117364,2.51971872822694,Plant Richness,"Taxonomic
Diversity"
fixed,cond,,Intercept,0.152842606207833,0.0860557172541217,1.77608892337147,0.0757182616312417,site,1,plant_richness_site,taxonomic_diversity,6,0.321511812025911,-0.0158265996102459,non-significant,16.5141578458622,37.9211297209484,-1.57020170877743,Plant Richness,"Taxonomic
Diversity"
fixed,cond,,Intercept,-0.144915554408422,0.0953830650473356,-1.51930066764477,0.12868683176604,plot,1 + (1 | exclosure_id/cluster_id),woody_richness_plot,taxonomic_diversity,78,0.0420352530843559,-0.3318663619012,non-significant,-13.490465648564,4.29312446458487,-28.2416787096678,Woody Richness,"Taxonomic
Diversity"
fixed,cond,,Intercept,-0.0902538743885905,0.124576982589919,-0.724482745626349,0.468769416325974,cluster,1 + (1 | exclosure_id),woody_richness_cluster,taxonomic_diversity,32,0.153917011487651,-0.334424760264832,non-significant,-8.63008089996984,16.6394085451832,-28.4250304380438,Woody Richness,"Taxonomic
Diversity"
fixed,cond,,Intercept,-0.215061390868591,0.143092346485207,-1.50295523241576,0.132850588642924,site,1,woody_richness_site,taxonomic_diversity,6,0.0653996082424153,-0.495522389979597,non-significant,-19.3508072582409,6.75855551432321,-39.0747443278701,Woody Richness,"Taxonomic
Diversity"
fixed,cond,,Intercept,0.336433387212623,0.124537210417642,2.70146879060786,0.00690339589474698,plot,1 + (1 | exclosure_id/cluster_id),forb_richness_plot,taxonomic_diversity,81,0.580526319631201,0.092340454794045,significant,39.9945611884454,78.6978705259017,9.67381482872591,Forb Richness,"Taxonomic
Diversity"
fixed,cond,,Intercept,0.42571179445052,0.112790865669108,3.77434637038269,0.000160427735530032,cluster,1 + (1 | exclosure_id),forb_richness_cluster,taxonomic_diversity,31,0.646781891161972,0.204641697739068,significant,53.0679561212134,90.9386318396406,22.7085318742788,Forb Richness,"Taxonomic
Diversity"
fixed,cond,,Intercept,0.302461782342233,0.121489123852187,2.48962024543226,0.0127879652245308,site,1,forb_richness_site,taxonomic_diversity,6,0.54058046509252,0.0643430995919453,significant,35.3185959835027,71.7003233418266,6.64582373844487,Forb Richness,"Taxonomic
Diversity"
fixed,cond,,Intercept,0.382836099788085,0.0886844071217359,4.31683665948819,1.58281195865094e-05,plot,1 + (1 | exclosure_id/cluster_id),graminoid_richness_plot,taxonomic_diversity,66,0.556657537746687,0.209014661829483,significant,46.6437660927274,74.4830711963176,23.246306856114,Graminoid Richness,"Taxonomic
Diversity"
fixed,cond,,Intercept,0.425599953987957,0.154184737532348,2.76032479478499,0.00577439216298217,cluster,1 + (1 | exclosure_id),graminoid_richness_cluster,taxonomic_diversity,23,0.72780203955136,0.123397868424554,significant,53.0508378874707,107.052467128886,13.1334453671373,Graminoid Richness,"Taxonomic
Diversity"
fixed,cond,,Intercept,0.428653006445967,0.20219473698416,2.12000081129485,0.0340059768770337,site,1,graminoid_richness_site,taxonomic_diversity,6,0.82495469093492,0.032351321957014,significant,53.518824154081,128.177737778742,3.2880315103526,Graminoid Richness,"Taxonomic
Diversity"
fixed,cond,,Intercept,-0.201091073644728,0.0685791419359817,-2.93224831877374,0.00336517557302353,plot,1 + (1 | exclosure_id/cluster_id),berger_parker_plot,dominance,108,-0.0666759554502039,-0.335506191839252,significant,-18.2162055320404,-6.45017046499055,-28.5023920318917,Plant Dominance,Dominance
fixed,cond,,Intercept,-0.2201435303634,0.0728961928987945,-3.01995922707564,0.00252808716084213,cluster,1 + (1 | exclosure_id),berger_parker_cluster,dominance,36,-0.0772669922817628,-0.363020068445037,significant,-19.7596379586293,-7.4357318840144,-30.4427525698944,Plant Dominance,Dominance
fixed,cond,,Intercept,-0.325184470324541,0.0542520234670522,-5.99396021647061,2.0479149287494e-09,site,1,berger_parker_site,dominance,6,-0.218850504329118,-0.431518436319963,significant,-27.7605918920549,-19.6558179750036,-35.0477912369228,Plant Dominance,Dominance
fixed,cond,,Intercept,0.17694351121661,0.154103299178899,1.14821364733533,0.250880376732173,plot,1 + (1 | exclosure_id/cluster_id),functional_dispersion_plot,functional_diversity,105,0.478985977607251,-0.125098955174031,non-significant,19.3563668263264,61.443649713727,-11.7590420729363,Plant Functional Dispersion,"Functional
Diversity"
fixed,cond,,Intercept,0.0572939277753968,0.11057607812273,0.518140349595372,0.604360349732689,cluster,1 + (1 | exclosure_id),functional_dispersion_cluster,functional_diversity,36,0.274023040895949,-0.159435185345155,non-significant,5.89670244777514,31.5245106315248,-14.7374771784573,Plant Functional Dispersion,"Functional
Diversity"
fixed,cond,,Intercept,0.00803450597375251,0.0867123710901399,0.0926569746939618,0.926176079124012,site,1,functional_dispersion_site,functional_diversity,6,0.177990753310427,-0.161921741362922,non-significant,0.80668692330772,19.481427310704,-14.9492238485889,Plant Functional Dispersion,"Functional
Diversity"
fixed,cond,,Intercept,-0.0366360788854764,0.0289950008513635,-1.26353087807389,0.206398456881196,plot,1 + (1 | exclosure_id/cluster_id),functional_specialization_plot,functional_diversity,105,0.020194122783196,-0.0934662805541489,non-significant,-3.59730987360405,2.03994035740036,-8.92312724747768,Plant Functional Specialization,"Functional
Diversity"
fixed,cond,,Intercept,-0.0335161596214914,0.0283130212764768,-1.1837719222617,0.236503359633559,cluster,1 + (1 | exclosure_id),functional_specialization_cluster,functional_diversity,36,0.0219773620804031,-0.0890096813233859,non-significant,-3.29607158836596,2.22206432597725,-8.51632832985207,Plant Functional Specialization,"Functional
Diversity"
