effect,component,term,estimate,std.error,conf.low,conf.high,scale,formula,response_name,response_tier,n,ci_ub,ci_lb,sig,percent_change,ci_ub_percent_change,ci_lb_percent_change,clean_response,clean_response_tier,biome_clean
fixed,cond,Savanna,0.472024125134355,0.110879324557507,0.25013078394524,0.694738858912618,plot,biome + 0 + (1 | exclosure_id/cluster_id),plant_richness_plot,taxonomic_diversity,107,0.689347601267068,0.254700649001641,significant,60.3236061545405,99.2415259949811,29.007537771236,Plant Richness,"Taxonomic
Diversity",Savanna
fixed,cond,Thicket,0.0246739145655488,0.146094836522053,-0.256309216986111,0.326568253826784,plot,biome + 0 + (1 | exclosure_id/cluster_id),plant_richness_plot,taxonomic_diversity,107,0.311019794148774,-0.261671965017676,non-significant,2.49808347037339,36.481623629442,-23.023650835047,Plant Richness,"Taxonomic
Diversity",Thicket
fixed,cond,Savanna,-0.088571050243316,0.180412491200735,-0.432909878395327,0.291684063204502,plot,biome + 0 + (1 | exclosure_id/cluster_id),woody_richness_plot,taxonomic_diversity,78,0.265037432510125,-0.442179532996757,non-significant,-8.4761919462495,30.3479767384758,-35.7365748954722,Woody Richness,"Taxonomic
Diversity",Savanna
fixed,cond,Thicket,-0.211065198529638,0.19449747938881,-0.593429530550078,0.175862478978163,plot,biome + 0 + (1 | exclosure_id/cluster_id),woody_richness_plot,taxonomic_diversity,78,0.17014986107243,-0.592280258131706,non-significant,-19.0278727476147,18.5482495687196,-44.6935284525156,Woody Richness,"Taxonomic
Diversity",Thicket
fixed,cond,Savanna,0.505610345912537,0.241645358005938,0.038577131436507,1.07718860932395,plot,biome + 0 + (1 | exclosure_id/cluster_id),forb_richness_plot,taxonomic_diversity,81,0.979235247604175,0.0319854442208991,significant,65.7997163495087,166.241937158484,3.2502476317773,Forb Richness,"Taxonomic
Diversity",Savanna
fixed,cond,Thicket,0.0895948903664277,0.266786849911825,-0.452827911328142,0.606196467524716,plot,biome + 0 + (1 | exclosure_id/cluster_id),forb_richness_plot,taxonomic_diversity,81,0.612497116193604,-0.433307335460748,non-significant,9.37311129345093,84.5032912697113,-35.1638803205815,Forb Richness,"Taxonomic
Diversity",Thicket
fixed,cond,Savanna,0.435790993983434,0.156155026346692,0.124756234770797,0.761687877722122,plot,biome + 0 + (1 | exclosure_id/cluster_id),graminoid_richness_plot,taxonomic_diversity,66,0.741854845622951,0.129727142343918,significant,54.618559888272,109.982675902272,13.8517687671039,Graminoid Richness,"Taxonomic
Diversity",Savanna
fixed,cond,Thicket,-0.00451189094533737,0.297629130266971,-0.590910405621454,0.569041440240774,plot,biome + 0 + (1 | exclosure_id/cluster_id),graminoid_richness_plot,taxonomic_diversity,66,0.578841204377927,-0.587864986268601,non-significant,-0.45017276563486,78.3969975925324,-44.4487954610802,Graminoid Richness,"Taxonomic
Diversity",Thicket
fixed,cond,Savanna,-0.271476651789606,0.122403242289085,-0.518982704780969,-0.0304892728815588,plot,biome + 0 + (1 | exclosure_id/cluster_id),berger_parker_plot,dominance,108,-0.0315662969030005,-0.511387006676212,significant,-23.7746919494429,-3.10732825162627,-40.0336735218591,Plant Dominance,Dominance,Savanna
fixed,cond,Thicket,-0.0813981713472399,0.149483745434475,-0.375894544122589,0.217660844776145,plot,biome + 0 + (1 | exclosure_id/cluster_id),berger_parker_plot,dominance,108,0.211589969704331,-0.374386312398811,non-significant,-7.81734265671435,23.5641130895078,-31.2288810852868,Plant Dominance,Dominance,Thicket
fixed,cond,Savanna,0.297778676135574,0.285746776147203,-0.29223516066043,0.879879143847811,plot,biome + 0 + (1 | exclosure_id/cluster_id),functional_dispersion_plot,functional_diversity,105,0.857842357384092,-0.262285005112944,non-significant,34.6863661819076,135.806733428547,-23.0708259618729,Plant Functional Dispersion,"Functional
Diversity",Savanna
fixed,cond,Thicket,0.0147021162420022,0.328627702176697,-0.656216953408065,0.639415426201379,plot,biome + 0 + (1 | exclosure_id/cluster_id),functional_dispersion_plot,functional_diversity,105,0.658812412508329,-0.629408180024325,non-significant,1.48107239546604,93.2495963067545,-46.7092907237609,Plant Functional Dispersion,"Functional
Diversity",Thicket
fixed,cond,Savanna,-0.0340592167631726,0.0583054177992232,-0.157889972742653,0.0915807643134045,plot,biome + 0 + (1 | exclosure_id/cluster_id),functional_specialization_plot,functional_diversity,105,0.0802194021233048,-0.14833783564965,non-significant,-3.34857309037043,8.35247692329149,-13.7860195823598,Plant Functional Specialization,"Functional
Diversity",Savanna
fixed,cond,Thicket,-0.0334014521908036,0.0641938212051109,-0.157066776775401,0.101177796378306,plot,biome + 0 + (1 | exclosure_id/cluster_id),functional_specialization_plot,functional_diversity,105,0.0924184373712137,-0.159221341752821,non-significant,-3.2849782929709,9.68236780894156,-14.7192423846582,Plant Functional Specialization,"Functional
Diversity",Thicket
fixed,cond,Savanna,0.149427687337979,0.120197672699024,-0.086837055133681,0.413257441150797,plot,biome + 0 + (1 | exclosure_id/cluster_id),functional_diversity_plot,functional_diversity,108,0.385015125828066,-0.0861597511521088,non-significant,16.1169500518336,46.9636550742812,-8.25523438073783,Plant Functional Diversity,"Functional
Diversity",Savanna
fixed,cond,Thicket,0.124000236507451,0.131512360056937,-0.132566965259688,0.408776743460343,plot,biome + 0 + (1 | exclosure_id/cluster_id),functional_diversity_plot,functional_diversity,108,0.381764462219048,-0.133763989204147,non-significant,13.2016138729395,46.4867012970165,-12.5203498339745,Plant Functional Diversity,"Functional
Diversity",Thicket
fixed,cond,Savanna,-0.586861069978496,0.168434677754051,-0.928645699100255,-0.245237595018741,plot,biome + 0 + (1 | exclosure_id/cluster_id),functional_nearerst_neighbour_distance_plot,functional_diversity,105,-0.256729101580555,-0.916993038376437,significant,-44.3929986989557,-22.6422253628049,-60.0280823977118,Plant Functional Distance,"Functional
Diversity",Savanna
fixed,cond,Thicket,-0.0545454869795928,0.20818625282376,-0.456789708606992,0.350449600098798,plot,biome + 0 + (1 | exclosure_id/cluster_id),functional_nearerst_neighbour_distance_plot,functional_diversity,105,0.353499568554978,-0.462590542514163,non-significant,-5.30845644448981,42.4042372555242,-37.0349605199177,Plant Functional Distance,"Functional
Diversity",Thicket
fixed,cond,Savanna,0.343574814612965,0.145973525795849,0.0492941796310209,0.635495389593648,plot,biome + 0 + (1 | exclosure_id/cluster_id),plant_evenness_plot,dominance,105,0.629682925172829,0.0574667040531012,significant,40.9979005570574,87.7015330588601,5.91500046653151,Plant Evenness,Dominance,Savanna
fixed,cond,Thicket,0.019660916277597,0.175777234889717,-0.322929738963877,0.363482464690952,plot,biome + 0 + (1 | exclosure_id/cluster_id),plant_evenness_plot,dominance,105,0.364184296661442,-0.324862464106248,non-significant,1.98554650023883,43.9339455172048,-27.7373266078563,Plant Evenness,Dominance,Thicket
fixed,cond,Savanna,0.566750127687118,0.208075617328762,0.102707192375154,0.930396099583577,plot,biome + 0 + (1 | exclosure_id/cluster_id),shannon_diversity_plot,taxonomic_diversity,105,0.974578337651491,0.158921917722744,significant,76.2529737120601,165.004954924463,17.2246411437814,Shannon Diversity,"Taxonomic
Diversity",Savanna
fixed,cond,Thicket,0.0206199519245896,0.239735551366275,-0.447678763511754,0.464231972900166,plot,biome + 0 + (1 | exclosure_id/cluster_id),shannon_diversity_plot,taxonomic_diversity,105,0.490501632602489,-0.44926172875331,non-significant,2.08340119037846,63.3135248397391,-36.1900932037197,Shannon Diversity,"Taxonomic
Diversity",Thicket
fixed,cond,Savanna,-0.0777857536509711,0.0470233832962175,-0.178647762377687,0.0201983115642399,plot,biome + 0 + (1 | exclosure_id/cluster_id),point_return_fraction_plot,structure,107,0.0143800776096153,-0.169951584911557,non-significant,-7.48373819749496,1.44839683137803,-15.6294336308105,Vegetation Density,"Vegetation
Structure",Savanna
fixed,cond,Thicket,-0.217789468180058,0.0602265856868539,-0.328728097718892,-0.0869153794358652,plot,biome + 0 + (1 | exclosure_id/cluster_id),point_return_fraction_plot,structure,107,-0.0997453602338241,-0.335833576126292,significant,-19.5705246518608,-9.49321450375272,-28.5257953941458,Vegetation Density,"Vegetation
Structure",Thicket
fixed,cond,Savanna,-0.442285658261411,0.134996322151062,-0.726891288038019,-0.170405678180402,plot,biome + 0 + (1 | exclosure_id/cluster_id),mean_point_height_plot,structure,107,-0.177692866845329,-0.706878449677492,significant,-35.7433945065961,-16.2800484265673,-50.6818712632271,Vegetation Height,"Vegetation
Structure",Savanna
fixed,cond,Thicket,-0.28628447556951,0.146130850158359,-0.57578930949383,-0.00679604905705607,plot,biome + 0 + (1 | exclosure_id/cluster_id),mean_point_height_plot,structure,107,0.000131990740874166,-0.572700941879895,non-significant,-24.8951069518049,0.0131999452035236,-43.5999951719238,Vegetation Height,"Vegetation
Structure",Thicket
